"yPos","xPos","race","lat","lon"
708,1180,"Black",38.92712,-76.97228
1242,1201,"Black",38.87511,-76.96965
1411,1060,"Black",38.85873,-76.98722
912,1436,"Black",38.90722,-76.9402
1157,1374,"Black",38.88344,-76.94799
1337,1115,"Black",38.86592,-76.98034
924,1476,"Black",38.9060631446436,-76.9351700257021
1568,949,"Black",38.84343,-77.00111
956,986,"Black",38.90296,-76.99648
568,892,"Black",38.9407,-77.0083
728,692,"Black",38.92513,-77.0334
1026,1011,"Black",38.8961,-76.99338
1663,1011,"Black",38.83419,-76.99346
1212,1058,"Black",38.87805,-76.98757
525,905,"Black",38.9449,-77.00663
834,679,"Black",38.91482,-77.03501
1528,1150,"Black",38.8473,-76.97604
1520,1191,"Black",38.84811,-76.97087
1554,964,"Black",38.8448,-76.99931
1173,1539,"Black",38.88186,-76.92733
1284,854,"Black",38.87101,-77.01303
315,779,"Black",38.96531,-77.02248
1020,1622,"Black",38.89677,-76.91691
1229,850,"Black",38.87635,-77.01352
1762,936,"Black",38.82457,-77.00277
655,1214,"Black",38.9322734813255,-76.9679953070163
653,1229,"Black",38.93243,-76.96607
937,1160,"Black",38.904823789886,-76.9747271700922
1176,1043,"Black",38.88159,-76.98933
1429,1018,"Black",38.85698,-76.99253
1070,1579,"Black",38.8919,-76.92227
1664,1011,"Black",38.83403,-76.99343
1289,1390,"Black",38.87057,-76.94589
1381,1298,"Black",38.86161,-76.9574
487,964,"Black",38.94862,-76.99933
1808,880,"Black",38.82002,-77.00987
1415,1050,"Black",38.85832,-76.98847
1205,782,"Black",38.87874,-77.02203
1209,1498,"Black",38.87835,-76.93243
1315,1130,"Black",38.86805,-76.97847
693,1161,"Black",38.92859,-76.97457
766,811,"Black",38.92145,-77.01843
622,789,"Black",38.93546,-77.02119
1379,1299,"Black",38.86178,-76.95728
899,1079,"Black",38.90846,-76.98484
1128,1461,"Black",38.88622,-76.93702
723,1089,"Black",38.92561,-76.98365
973,971,"Black",38.9013,-76.99843
1709,971,"Black",38.82969,-76.99847
1026,1513,"Black",38.89613,-76.93053
918,1052,"Black",38.90667,-76.98827
945,1016,"Black",38.90401,-76.9928
1244,856,"Black",38.87493,-77.01277
1153,1350,"Black",38.88381,-76.95096
1318,1063,"Black",38.86777,-76.98688
1584,1063,"Black",38.8418708107718,-76.9868284258522
186,757,"Black",38.97786,-77.02523
1558,1163,"Black",38.8444149538563,-76.9743612417246
365,969,"Black",38.96048,-76.99872
1410,1064,"Black",38.85877,-76.98679
1258,1222,"Black",38.87359,-76.96701
1409,1175,"Black",38.85883,-76.97285
1219,1450,"Black",38.87733,-76.93844
492,780,"Black",38.94813,-77.02232
1595,959,"Black",38.84074,-76.99994
796,864,"Black",38.91848,-77.01185
1423,1039,"Black",38.85752,-76.98989
952,1449,"Black",38.90331,-76.93857
996,1162,"Black",38.89905,-76.9745
1756,972,"Black",38.82511,-76.99827
960,1137,"Black",38.90252,-76.97768
1724,998,"Black",38.82825,-76.99501
500,1031,"Black",38.9472926737745,-76.9908913446316
974,1367,"Black",38.90123,-76.9488
1544,1111,"Black",38.84578,-76.98082
1012,1134,"Black",38.8975,-76.97804
857,835,"Black",38.9126,-77.01547
1531,1142,"Black",38.84705,-76.97696
1742,945,"Black",38.82644,-77.00161
1450,1050,"Black",38.85492,-76.98852
1549,940,"Black",38.84529,-77.00233
1658,1046,"Black",38.83465,-76.98902
1806,849,"Black",38.82021,-77.01369
879,1452,"Black",38.91047,-76.9382
244,752,"Black",38.97225,-77.02581
503,757,"Black",38.947034018706,-77.025250487557
1727,869,"Black",38.82797,-77.01113
1464,1065,"Black",38.85351,-76.98658
934,1156,"Black",38.90511,-76.97519
1878,833,"Black",38.81321,-77.01573
332,771,"Black",38.96363,-77.02346
989,1395,"Black",38.89979,-76.94534
1095,1448,"Black",38.8894,-76.93868
933,1076,"Black",38.90521,-76.98525
1358,1342,"Black",38.86381,-76.95192
1324,1414,"Black",38.8672,-76.94293
1354,1209,"Black",38.8642064799315,-76.9686608497715
1779,861,"Black",38.82284,-77.01222
1231,851,"Black",38.8762450728331,-77.0134050600408
239,746,"Black",38.97273,-77.02652
1578,933,"Black",38.84247,-77.0032
969,1129,"Black",38.90169,-76.97866
1291,1389,"Black",38.87039,-76.94604
606,664,"Black",38.937,-77.0368
1144,1391,"Black",38.88465,-76.94587
410,709,"Black",38.95605,-77.03126
132,744,"Black",38.98314,-77.02679
345,928,"Black",38.96238,-77.00375
1202,837,"Black",38.87902,-77.01513
927,1038,"Black",38.90576,-76.98996
1713,863,"Black",38.82929,-77.01191
1426,1154,"Black",38.85718,-76.97551
1714,993,"Black",38.82923,-76.99565
1152,1531,"Black",38.88384,-76.92826
990,1118,"Black",38.89967,-76.98
1084,1454,"Black",38.89055,-76.9379
1345,1343,"Black",38.8651,-76.95184
1008,1167,"Black",38.89789,-76.97384
1220,1217,"Black",38.87724,-76.96756
1561,1066,"Black",38.8440831673295,-76.986464157242
1595,960,"Black",38.84077,-76.99979
